X,Y,SurveyID,SurveyNumber,MagAnomaly,uncertainty
5899.80524521193,1985952.02980985,U371CB,74,-79,81
5799.44087359967,1986187.65479907,U371CB,74,-92.5,81
5709.9781192037,1986434.10801208,U371CB,74,-100.699999999999,81
5620.51837930724,1986680.56222064,U371CB,74,-100.800000000004,81
5510.3784160855,1986949.73750513,U371CB,74,-98.1999999999985,81
5420.92512421095,1987196.19389056,U371CB,74,-91.1999999999985,81
5331.19623867417,1987431.55775085,U371CB,74,-83.2999999999971,81
5241.74889144435,1987678.01611579,U371CB,74,-73.4999999999956,81
5162.64534561284,1987913.11506301,U371CB,74,-63.7999999999985,81
5062.86324727675,1988170.9358342,U371CB,74,-55.0000000000029,81
4963.08459676296,1988428.75779564,U371CB,74,-47.0000000000029,81
4873.64952758781,1988675.22023856,U371CB,74,-42.4999999999971,81
4783.93833676976,1988910.59008114,U371CB,74,-38.0999999999956,81
4694.22999128094,1989145.96089558,U371CB,74,-36.2000000000015,81
4605.08311675873,1989403.51992551,U371CB,74,-34.6000000000029,81
4515.66003588028,1989649.98634302,U371CB,74,-35.2000000000015,81
4415.62138421775,1989896.72128117,U371CB,74,-35.9999999999985,81
4325.9248835147,1990132.09611287,U371CB,74,-35.5999999999971,81
4236.51089801622,1990378.56558976,U371CB,74,-35.1999999999956,81
46366.1719233239,1978977.18236629,WI932010,92,242.400000000003,88
45329.7377106277,1980110.44699088,WI932010,92,234.299999999997,88
44458.97191501,1981051.36342685,WI932010,92,82.3000000000015,88
43598.909279731,1981992.09190223,WI932010,92,-0.50000000000291,88
42743.2984112896,1983121.39191516,WI932010,92,87.6000000000029,88
41703.1825951573,1984077.51647778,WI932010,92,125.600000000003,88
40837.165147871,1985207.19205384,WI932010,92,204.700000000001,88
39977.4693180869,1986148.16008347,WI932010,92,258.999999999997,88
38941.8036243139,1987281.93156659,WI932010,92,261.8,88
37906.2608638756,1988415.78515795,WI932010,92,259.700000000001,88
37046.8537922261,1989356.94605161,WI932010,92,248.999999999997,88
36011.5362087119,1990490.95010245,WI932010,92,278.8,88
-2771.4641834732,1990156.82289442,WI932010,92,15.7999999999985,88
-2804.63421173021,1988858.76337582,WI932010,92,3.39999999999709,88
-2842.31488225929,1987383.19203371,WI932010,92,17.2,88
-2880.25150074606,1985896.52680392,WI932010,92,70.8999999999971,88
-2917.87784699479,1984420.95671934,WI932010,92,64.3,88
